endTime,artistName,trackName,msPlayed
2024-08-04 22:41,spüke,Emanate,2484
2024-08-04 22:41,Kanye West,Love Lockdown,12561
2024-08-04 22:41,Adele,Skyfall,2182
2024-08-04 22:41,Travis Scott,Pornography,124412
2024-08-04 22:49,Shouse,Won't Forget You,398663
2024-08-04 22:53,53 Thieves,coastal,228570
2024-08-04 22:54,Aviella,Way Back,45481
2024-08-04 22:54,Daft Punk,Touch (2021 Epilogue) [feat. Paul Williams],740
2024-08-04 22:54,Flux Pavilion,I Can't Stop,1320
2024-08-04 23:01,Playboi Carti,FlatBed Freestyle,193973
2024-08-04 23:05,Travis Scott,MODERN JAM (feat. Teezo Touchdown),195096
2024-08-04 23:06,Flume,Ecdysis,104888
2024-08-04 23:07,Tim McGraw,Something Like That,810
2024-08-04 23:07,FISHER,Atmosphere,560
2024-08-04 23:07,53 Thieves,3rd floor,4090
2024-08-04 23:07,Beach Fossils,Social Jetlag,440
2024-08-04 23:07,Khruangbin,White Gloves,1140
2024-08-04 23:07,MGMT,Kids,500
2024-08-04 23:07,Travis Scott,HYAENA,1320
2024-08-04 23:07,Trippie Redd,Space Time,800
2024-08-04 23:07,Disclosure,When A Fire Starts To Burn,1670
2024-08-04 23:07,Blondie,Heart Of Glass,4461
2024-08-04 23:10,FISHER,Atmosphere,9530
2024-08-04 23:10,Kid Cudi,love.,15250
2024-08-04 23:10,Beach Fossils,Social Jetlag,160420
